,Unnamed: 0,loan_status,Principal,terms,effective_date,due_date,age,education,Gender
203,203,1,800,15,9/12/2016,9/26/2016,27,college,male
204,204,1,1000,30,9/12/2016,10/11/2016,20,college,male
205,205,1,1000,7,9/12/2016,9/18/2016,26,Bechalor,female
206,206,1,1000,30,9/12/2016,11/10/2016,26,college,male
207,207,1,1000,30,9/12/2016,10/11/2016,27,college,male
208,208,1,300,7,9/12/2016,9/18/2016,23,High School or Below,male
209,209,1,1000,30,9/12/2016,10/11/2016,39,High School or Below,male
210,210,1,1000,15,9/12/2016,9/26/2016,27,High School or Below,male
211,211,1,1000,30,9/12/2016,10/11/2016,30,High School or Below,male
212,212,1,1000,30,9/12/2016,10/11/2016,33,High School or Below,female
213,213,1,1000,30,9/12/2016,10/11/2016,27,High School or Below,male
214,214,1,1000,30,9/12/2016,10/11/2016,35,High School or Below,male
215,215,1,1000,30,9/12/2016,11/10/2016,29,college,female
216,216,1,1000,15,9/12/2016,9/26/2016,50,High School or Below,male
217,217,1,800,15,9/12/2016,9/26/2016,31,High School or Below,female
218,218,1,1000,15,9/12/2016,9/26/2016,31,High School or Below,male
219,219,1,1000,30,9/12/2016,10/11/2016,29,High School or Below,male
220,220,1,1000,15,9/12/2016,9/26/2016,35,college,male
221,221,1,1000,30,9/12/2016,10/11/2016,39,college,male
223,223,1,1000,15,9/12/2016,9/26/2016,30,High School or Below,male
224,224,1,1000,30,9/12/2016,10/11/2016,33,Bechalor,male
225,225,1,1000,30,9/12/2016,10/11/2016,26,High School or Below,male
226,226,1,1000,15,9/12/2016,9/26/2016,25,High School or Below,male
227,227,1,800,15,9/12/2016,9/26/2016,37,Bechalor,male
228,228,1,800,15,9/12/2016,9/26/2016,26,High School or Below,male
229,229,1,800,15,9/12/2016,9/26/2016,26,college,male
230,230,1,1000,15,9/12/2016,10/26/2016,27,college,male
231,231,1,1000,7,9/12/2016,9/25/2016,34,college,female
232,232,1,1000,30,9/12/2016,10/11/2016,37,college,male
233,233,1,1000,30,9/12/2016,10/11/2016,36,High School or Below,male
234,234,1,800,15,9/12/2016,9/26/2016,33,High School or Below,male
235,235,1,1000,30,9/12/2016,10/11/2016,30,High School or Below,male
237,237,1,800,15,9/12/2016,9/26/2016,36,High School or Below,male
238,238,1,1000,15,9/12/2016,10/11/2016,29,college,male
240,240,1,1000,30,9/12/2016,10/11/2016,32,High School or Below,male
241,241,1,1000,15,9/12/2016,9/26/2016,29,High School or Below,female
242,242,1,800,15,9/12/2016,9/26/2016,36,Bechalor,male
243,243,1,800,15,9/12/2016,9/26/2016,30,High School or Below,female
244,244,1,1000,7,9/13/2016,9/19/2016,31,college,male
245,245,1,1000,30,9/13/2016,10/12/2016,19,High School or Below,female
246,246,1,800,15,9/13/2016,9/27/2016,26,college,male
247,247,1,800,15,9/13/2016,9/27/2016,34,High School or Below,male
248,248,1,1000,30,9/13/2016,10/12/2016,35,High School or Below,male
249,249,1,1000,15,9/13/2016,9/27/2016,35,Bechalor,female
250,250,1,800,15,9/13/2016,9/27/2016,38,college,male
253,253,1,500,7,9/13/2016,9/19/2016,22,High School or Below,male
254,254,1,1000,30,9/13/2016,10/12/2016,32,college,male
255,255,1,1000,30,9/13/2016,10/12/2016,31,college,male
256,256,1,800,15,9/13/2016,9/27/2016,28,college,male
257,257,1,1000,15,9/13/2016,9/27/2016,37,college,female
258,258,1,1000,7,9/13/2016,9/19/2016,25,college,male
259,259,1,1000,30,9/13/2016,10/12/2016,19,High School or Below,male
260,260,1,800,15,9/13/2016,9/27/2016,51,college,male
261,261,1,1000,15,9/13/2016,9/27/2016,29,High School or Below,male
262,262,1,800,30,9/13/2016,10/12/2016,23,college,female
263,263,1,1000,15,9/13/2016,9/27/2016,30,High School or Below,male
265,265,1,1000,15,9/13/2016,9/27/2016,34,Bechalor,female
266,266,1,800,15,9/13/2016,9/27/2016,31,Bechalor,female
267,267,1,1000,15,9/14/2016,9/28/2016,24,High School or Below,male
268,268,1,1000,30,9/14/2016,10/13/2016,42,High School or Below,male
269,269,1,800,30,9/14/2016,10/13/2016,40,college,female
270,270,1,1000,30,9/14/2016,10/13/2016,29,High School or Below,male
271,271,1,1000,30,9/14/2016,10/13/2016,32,college,female
272,272,1,1000,30,9/14/2016,11/12/2016,28,college,male
273,273,1,1000,30,9/14/2016,10/13/2016,35,High School or Below,male
274,274,1,1000,30,9/14/2016,10/13/2016,30,Bechalor,male
275,275,1,800,15,9/14/2016,9/28/2016,44,college,male
276,276,1,800,15,9/14/2016,9/28/2016,37,High School or Below,male
277,277,1,1000,30,9/14/2016,10/13/2016,31,college,male
278,278,1,800,15,9/14/2016,9/28/2016,36,college,male
279,279,1,800,30,9/14/2016,10/13/2016,31,college,male
280,280,1,800,15,9/14/2016,9/28/2016,42,High School or Below,male
281,281,1,1000,15,9/14/2016,9/28/2016,28,Bechalor,male
282,282,1,1000,30,9/14/2016,10/13/2016,30,college,male
283,283,1,1000,30,9/14/2016,10/13/2016,30,High School or Below,male
284,284,1,1000,15,9/14/2016,9/28/2016,24,Bechalor,male
285,285,1,1000,30,9/14/2016,11/12/2016,34,Bechalor,male
286,286,1,1000,30,9/14/2016,10/13/2016,29,college,male
288,288,1,1000,30,9/14/2016,10/13/2016,34,Bechalor,male
289,289,1,800,15,9/14/2016,9/28/2016,28,High School or Below,male
290,290,1,1000,15,9/14/2016,9/28/2016,30,college,female
291,291,1,1000,30,9/14/2016,10/13/2016,41,High School or Below,male
292,292,1,1000,30,9/14/2016,10/13/2016,29,college,male
293,293,1,1000,30,9/14/2016,10/13/2016,37,High School or Below,male
294,294,1,1000,30,9/14/2016,10/13/2016,36,Bechalor,male
296,296,1,800,15,9/14/2016,9/28/2016,27,college,male
297,297,1,1000,30,9/14/2016,10/13/2016,29,High School or Below,male
298,298,1,1000,30,9/14/2016,10/13/2016,40,High School or Below,male
299,299,1,1000,30,9/14/2016,10/13/2016,28,college,male
300,300,2,1000,15,9/9/2016,9/23/2016,29,college,male
301,301,2,1000,30,9/9/2016,10/8/2016,37,High School or Below,male
303,303,2,800,15,9/9/2016,9/23/2016,27,college,male
304,304,2,800,15,9/9/2016,9/23/2016,24,Bechalor,male
306,306,2,800,15,9/10/2016,10/9/2016,28,college,male
307,307,2,1000,30,9/10/2016,10/9/2016,40,High School or Below,male
308,308,2,1000,30,9/10/2016,10/9/2016,33,college,male
312,312,2,1000,30,9/10/2016,10/9/2016,27,High School or Below,male
314,314,2,1000,30,9/10/2016,10/9/2016,24,college,male
316,316,2,1000,30,9/10/2016,10/9/2016,30,High School or Below,male
317,317,2,1000,15,9/10/2016,9/24/2016,29,High School or Below,male
318,318,2,1000,30,9/10/2016,10/9/2016,22,Bechalor,male
319,319,2,1000,15,9/10/2016,9/24/2016,24,Bechalor,male
320,320,2,1000,30,9/10/2016,10/9/2016,25,college,male
321,321,2,1000,30,9/10/2016,10/9/2016,28,High School or Below,male
322,322,2,1000,30,9/10/2016,10/9/2016,37,college,male
323,323,2,800,15,9/10/2016,9/24/2016,32,college,male
324,324,2,1000,15,9/10/2016,9/24/2016,34,college,male
325,325,2,1000,30,9/11/2016,10/10/2016,28,Bechalor,male
326,326,2,800,15,9/11/2016,9/25/2016,35,Bechalor,male
327,327,2,1000,30,9/11/2016,11/9/2016,27,college,male
329,329,2,1000,30,9/11/2016,10/10/2016,44,Bechalor,male
330,330,2,1000,15,9/11/2016,10/25/2016,31,college,male
332,332,2,1000,30,9/11/2016,10/10/2016,21,High School or Below,male
333,333,2,1000,30,9/11/2016,10/10/2016,30,High School or Below,female
334,334,2,1000,30,9/11/2016,10/10/2016,38,college,female
335,335,2,1000,30,9/11/2016,10/10/2016,34,High School or Below,male
336,336,2,1000,30,9/11/2016,10/10/2016,31,college,male
337,337,2,1000,30,9/11/2016,10/10/2016,23,High School or Below,male
338,338,2,1000,15,9/11/2016,9/25/2016,27,college,female
339,339,2,1000,15,9/11/2016,9/25/2016,39,High School or Below,male
340,340,2,1000,30,9/11/2016,10/10/2016,30,High School or Below,female
341,341,2,1000,30,9/11/2016,10/10/2016,25,college,male
342,342,2,1000,15,9/11/2016,9/25/2016,50,Master or Above,male
343,343,2,1000,30,9/11/2016,10/10/2016,23,High School or Below,male
344,344,2,800,15,9/11/2016,9/25/2016,38,Bechalor,male
345,345,2,1000,30,9/11/2016,10/10/2016,27,High School or Below,male
346,346,2,1000,30,9/11/2016,11/9/2016,31,High School or Below,male
347,347,2,800,15,9/11/2016,9/25/2016,40,college,male
350,350,2,1000,30,9/11/2016,10/10/2016,26,High School or Below,male
351,351,2,1000,15,9/11/2016,9/25/2016,25,college,male
352,352,2,1000,30,9/11/2016,10/10/2016,35,High School or Below,male
353,353,2,1000,30,9/11/2016,10/10/2016,41,High School or Below,male
354,354,2,1000,30,9/11/2016,10/10/2016,37,High School or Below,male
355,355,2,1000,15,9/11/2016,10/10/2016,34,college,male
356,356,2,1000,30,9/11/2016,10/10/2016,45,High School or Below,male
357,357,2,1000,30,9/11/2016,10/10/2016,26,Bechalor,male
358,358,2,1000,30,9/11/2016,10/10/2016,32,college,male
359,359,2,1000,30,9/11/2016,10/10/2016,28,High School or Below,male
360,360,2,1000,30,9/11/2016,10/10/2016,34,college,male
361,361,2,800,15,9/11/2016,9/25/2016,29,High School or Below,male
362,362,2,1000,30,9/11/2016,10/10/2016,26,High School or Below,male
363,363,2,1000,15,9/11/2016,9/25/2016,26,college,male
364,364,2,800,15,9/11/2016,9/25/2016,22,college,male
365,365,2,1000,30,9/11/2016,10/10/2016,27,High School or Below,female
366,366,2,800,30,9/11/2016,10/10/2016,33,High School or Below,male
367,367,2,800,15,9/11/2016,9/25/2016,28,Bechalor,male
368,368,2,1000,30,9/11/2016,10/10/2016,24,college,male
371,371,2,1000,30,9/11/2016,10/10/2016,18,college,male
372,372,2,800,15,9/11/2016,9/25/2016,25,High School or Below,male
373,373,2,1000,15,9/11/2016,9/25/2016,40,High School or Below,male
374,374,2,1000,30,9/11/2016,10/10/2016,29,college,male
375,375,2,800,15,9/11/2016,9/25/2016,26,High School or Below,female
376,376,2,1000,15,9/11/2016,9/25/2016,30,college,male
377,377,2,1000,30,9/11/2016,10/10/2016,33,college,male
378,378,2,1000,30,9/11/2016,10/10/2016,30,college,male
379,379,2,1000,30,9/11/2016,10/10/2016,32,college,male
380,380,2,1000,30,9/11/2016,10/10/2016,25,High School or Below,male
381,381,2,800,15,9/11/2016,9/25/2016,35,High School or Below,male
382,382,2,1000,15,9/11/2016,9/25/2016,30,Bechalor,male
383,383,2,1000,30,9/11/2016,10/10/2016,26,High School or Below,male
384,384,2,1000,30,9/11/2016,10/10/2016,29,High School or Below,male
385,385,2,1000,30,9/11/2016,11/9/2016,26,High School or Below,male
386,386,2,800,15,9/11/2016,9/25/2016,46,High School or Below,male
387,387,2,1000,30,9/11/2016,10/10/2016,36,High School or Below,male
388,388,2,1000,15,9/11/2016,9/25/2016,38,Bechalor,male
389,389,2,1000,15,9/11/2016,10/25/2016,32,High School or Below,male
390,390,2,1000,15,9/11/2016,9/25/2016,30,college,male
391,391,2,800,15,9/11/2016,9/25/2016,35,High School or Below,male
392,392,2,1000,30,9/11/2016,10/10/2016,29,college,female
393,393,2,1000,30,9/11/2016,11/9/2016,26,college,male
394,394,2,800,15,9/11/2016,9/25/2016,32,High School or Below,male
395,395,2,1000,30,9/11/2016,10/10/2016,25,High School or Below,male
397,397,2,800,15,9/12/2016,9/26/2016,39,college,male
398,398,2,1000,30,9/12/2016,11/10/2016,28,college,male
399,399,2,1000,30,9/12/2016,10/11/2016,26,college,male
